书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/5421787/,https://img9.doubanio.com/view/subject/s/public/s4578724.jpg,定位,有史以来对美国营销影响最大的观念,8.0,9679人,杰克·特劳特（Jack Trout）、阿尔·里斯（AL Ries） / 谢伟山、苑爱冬 / 机械工业出版社 / 2011-1-1 / 42.00元,暂无,杰克·特劳特&阿尔·里斯,营销&定位&商业&市场分析&传播&amp;创意&amp;营销&管理&广告&市场营销,机械工业出版社
https://book.douban.com/subject/1786387/,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,影响力, ,8.6,46263人,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,政治家运用影响力来赢得选举，商人运用影响力来兜售商品，推销员运用影响力诱惑你乖乖地把金钱捧上。即使你的朋友和家人，不知不觉之间，也会把影响力用到你的身上。但... ,罗伯特·西奥迪尼,心理学&影响力&营销&社会心理&管理&营销心理&心理&商业,中国人民大学出版社
https://book.douban.com/subject/35641576/,https://img9.doubanio.com/view/subject/s/public/s34029396.jpg,销售脑科学,洞悉顾客，快速成交,8.9,25人,[美]克里斯托弗·莫林（Christophe Morin）、[美]帕特里克·任瓦茨（Patrick Renvoise） / 李婷婷、施芒素 / 人民邮电出版社 / 2021-11 / 69.80元,暂无,克里斯托弗·莫林&帕特里克·任瓦茨,脑科学&营销&销售&心理学&自我成长&职场&思维&广告,人民邮电出版社
https://book.douban.com/subject/35640748/,https://img2.doubanio.com/view/subject/s/public/s34028621.jpg,敏捷营销, ,暂无,少于10人,刘谕谦 / 人民邮电出版社 / 2021-12 / 79.80元,暂无,刘谕谦,营销&销售&自我成长&自我提升&职场&商业&沟通&策划,人民邮电出版社
https://book.douban.com/subject/26879263/,https://img2.doubanio.com/view/subject/s/public/s29057553.jpg,营销管理（第15版）, ,9.4,613人,菲利普•科特勒、凯文•莱恩•凯勒 / 何佳讯、于洪彦、牛永革、徐岚、董伊人、金钰 / 格致出版社 / 2016-8-1 / 118,一个学科的确立总伴随着伟大思想者和他极富盛名的著作出现，如同亚当•斯密的《国富论》之于经济学，彼得•德鲁克的《管理：任务、责任、实践》之于管理学。对于营销学... ,菲利普•科特勒&凯文•莱恩•凯勒,营销管理&营销&市场营销&商业&管理&企业管理&经典&科特勒,格致出版社
https://book.douban.com/subject/35637771/,https://img9.doubanio.com/view/subject/s/public/s34026206.jpg,影响力,全新升级版,9.1,80人,[美]罗伯特·西奥迪尼 / 闾佳 / 湛庐文化/北京联合出版公司 / 2021-11-1 / 99.90,暂无,罗伯特·西奥迪尼,心理学&管理&营销&商业&思维&经典&职场&湛庐文化,北京联合出版公司
https://book.douban.com/subject/27593848/,https://img2.doubanio.com/view/subject/s/public/s29635861.jpg,增长黑客,如何低成本实现爆发式成长,8.3,4259人,Sean Ellis / 张溪梦 / 中信出版集团股份有限公司 / 2017-11-1 / CNY 59.00,暂无,Sean Ellis,增长黑客&互联网&运营&营销&商业&数据分析&网络营销&思维,中信出版集团股份有限公司
https://book.douban.com/subject/1031526/,https://img2.doubanio.com/view/subject/s/public/s1090891.jpg,一个广告人的自白, ,8.3,8941人,（美）奥格威 / 林桦 / 中国物价出版社 / 2003-7-1 / 29.80,在这本书中，奥格威坦诚地介绍他本人和奥美广告公司的宝贵经验，包括怎样经营广告公司、怎样争取客户、怎样维系客户，怎样当一个好客户，怎样撰写有效的文案、怎样制作... ,奥格威,广告&一个广告人的自白&营销&奥格威&大卫·奥格威&奥美&自传&专业,中国物价出版社
https://book.douban.com/subject/35345323/,https://img2.doubanio.com/view/subject/s/public/s33858963.jpg,秒赞,文案女王20年创作技巧与心法,7.4,990人,林桂枝 / 中信出版 / 2021-2 / 59.00,好文案就要直击人心，令人秒赞。 奥美前首席文案，被誉为“文案女王”的林桂枝倾力相授，浓缩众多爆款文案背后的创作技巧与心法，详解对于文案和时代的深刻理解和洞察... ,林桂枝,文案&广告&营销&工具书&奥美&商业&写作&2021,中信出版
https://book.douban.com/subject/35462648/,https://img9.doubanio.com/view/subject/s/public/s33899976.jpg,奥格威谈广告, ,7.7,140人,[美] 大卫·奥格威 / 高志宏 / 中信出版集团 / 2021-5 / 88.00元,暂无,大卫·奥格威,广告&营销&大卫·奥格威&奥美&经典&樊登读书会&设计&职场,中信出版集团
