书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/27608239/,https://img2.doubanio.com/view/subject/s/public/s29643861.jpg,原则, ,8.3,29436人,[美] 瑞·达利欧 / 刘波、綦相 / 中信出版社 / 2018-1 / CNY 98.00,瑞·达利欧是全世界顶级投资家、企业家之一，对冲基金公司桥水创始人。桥水创立至今为客户赚取的收益远远超过历史上任何一家对冲基金。达利欧认为桥水的成功源自他所奉... ,瑞·达利欧,个人管理&思维&管理&提升&商业&投资&金融&生活,中信出版社
https://book.douban.com/subject/5243775/,https://img2.doubanio.com/view/subject/s/public/s6462582.jpg,聪明的投资者, ,8.9,7130人,本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 / 人民邮电出版社 / 2010-8 / 88.00元,这是一本投资实务领域的世界级和世纪级的经典著作，自从1949年首次出版以来，本书即成为股市上的《圣经》。本修订版在完整保留格雷厄姆原著1973年第4版的基础... ,本杰明·格雷厄姆&Benjamin Graham,投资&金融&理财&投资理财&格雷厄姆&价值投资&经典投资书籍&经济学,人民邮电出版社
https://book.douban.com/subject/6974582/,https://img2.doubanio.com/view/subject/s/public/s8857282.jpg,股票作手回忆录, ,8.7,3611人,杰西·利弗莫尔 / 黄程雅淑，马晓佳 / 中国青年出版社 / 2012-1 / 33.90元,《彼得林奇点评版股票作手回忆录:巴菲特指定股市教科书》充满了利弗莫尔的人生和投资思路。他曾数次大起大落，做多和做空都赚过大钱，一生积攒的经验，后来历代的股神... ,杰西·利弗莫尔,股票&投资&金融&杰西·利弗莫尔&投资理财&投机&传记&回忆录,中国青年出版社
https://book.douban.com/subject/21331443/,https://img2.doubanio.com/view/subject/s/public/s26034002.jpg,中国是部金融史,透过金融读懂中国三千年,8.0,1563人,陈雨露、杨忠恕 / 北京联合出版公司 / 2013-3 / 39.50元,《中国是部金融史》内容简介：中国人民大学校长陈雨露教授全新力作，《世界是部金融史》姊妹篇，透过金融读懂中国三千年把金融那些事儿一次说清楚，三千年来谁著史——... ,陈雨露&杨忠恕,金融&历史&金融史&中国&经济&经济学&经济史&社会,北京联合出版公司
https://book.douban.com/subject/10773362/,https://img1.doubanio.com/view/subject/s/public/s10406068.jpg,随机漫步的傻瓜,发现市场和人生中的隐藏机遇,8.1,5806人,[美] 纳西姆·尼古拉斯·塔勒布 / 盛逢时 / 中信出版社 / 2012-7 / 39.00元,本书从投资市场入手，将随机性的影响讲得饶有趣味。即使是精于计算的数学家，也往往会被随机性所捉弄。实际上，那些成功人士很可能只是转盘赌的幸运儿，他们的幸运能维... ,纳西姆·尼古拉斯·塔勒布,投资&思维&心理学&金融&经济学&概率&方法论&商业,中信出版社
https://book.douban.com/subject/34997975/,https://img2.doubanio.com/view/subject/s/public/s33638692.jpg,文明、现代化、价值投资与中国, ,8.2,5055人,李录 / 中信出版集团 / 2020-4 / 128,暂无,李录,投资&价值投资&金融&思维&金融投资&历史&芒格&生活,中信出版集团
https://book.douban.com/subject/33413106/,https://img3.doubanio.com/view/subject/s/public/s33464650.jpg,一本书看透股权架构, ,9.2,925人,李利威 / 机械工业出版社 / 2019-4 / 79,暂无,李利威,股权&商业&投资&金融&企业管理&财务管理&管理&创业,机械工业出版社
https://book.douban.com/subject/10799082/,https://img9.doubanio.com/view/subject/s/public/s10389195.jpg,投资最重要的事, ,8.7,6007人,[美] 霍华德·马克斯 Howard Marks / 孙 伊 / 中信出版社 / 2012-7 / 58.00元,《投资最重要的事》倾注了霍华德•马克斯一生的经验和研究，阐述了成功投资的秘诀，以及足以摧毁资本或断送职业生涯的错误。马克斯摘录备忘录中的段落阐明自己的思想，... ,霍华德·马克斯 Howard Marks,投资&金融&投资理财&价值投资&投资哲学&理财&霍华德马克斯&经济,中信出版社
https://book.douban.com/subject/5346110/,https://img1.doubanio.com/view/subject/s/public/s4532008.jpg,穷查理宝典,查理·芒格的智慧箴言录,8.8,14888人,[美]彼得·考夫曼 (编) / 李继宏 / 上海人民出版社 / 2010-10-01 / 88.00,《穷查理宝典》收录了查理过去20年来主要的公开演讲。除简单而权威的查理传略外，其后的《芒格的生活、学习和决策方法》以及《芒格主义：查理的即席谈话》整理了芒格... ,彼得·考夫曼,查理·芒格&投资&思维&智慧&金融&价值投资&经济&传记,上海人民出版社
https://book.douban.com/subject/35324439/,https://img9.doubanio.com/view/subject/s/public/s33902805.jpg,崩盘,全球金融危机如何重塑世界,8.3,351人,[英] 亚当·图兹 / 伍秋玉 / 理想国｜上海三联书店 / 2021-6 / 148.00元,暂无,亚当·图兹,金融危机&金融&经济学&金融史&经济&经济史&历史&理想国译丛,理想国｜上海三联书店
