书籍详情链接,图片链接,图书中文名,图书别名,评分,评价数,概况,相关信息,作者,图书类别
https://book.douban.com/subject/1007305/,https://img1.doubanio.com/view/subject/s/public/s1070959.jpg,红楼梦, ,9.6,351668,都云作者痴，谁解其中味？,[清] 曹雪芹 著   人民文学出版社   1996-12   59.70元,曹雪芹,红楼梦 古典文学 曹雪芹 经典 古典名著 名著 四大名著 小说
https://book.douban.com/subject/4913064/,https://img9.doubanio.com/view/subject/s/public/s27279654.jpg,活着, ,9.4,635758,生的苦难与伟大,余华   作家出版社   2012-8-1   20.00元,余华,余华 人性 人生 活着 中国文学 社会 经典 小说
https://book.douban.com/subject/6082808/,https://img3.doubanio.com/view/subject/s/public/s27237850.jpg,百年孤独,Cien años de soledad,9.3,354443,魔幻现实主义文学代表作,[哥伦比亚] 加西亚·马尔克斯   范晔   南海出版公司   2011-6   39.50元,加西亚·马尔克斯,百年孤独 加西亚·马尔克斯 魔幻现实主义 经典 拉美文学 外国文学 小说 文学
https://book.douban.com/subject/4820710/,https://img1.doubanio.com/view/subject/s/public/s4371408.jpg,1984,Nineteen Eighty-Four,9.4,196211,栗树荫下，我出卖你，你出卖我,[英] 乔治·奥威尔   刘绍铭   北京十月文艺出版社   2010-4-1   28.00,乔治·奥威尔,反乌托邦 乔治·奥威尔 政治寓言 政治 1984 外国文学 小说 英国
https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘,Gone with the Wind,9.3,185135,革命时期的爱情，随风而逝,[美国] 玛格丽特·米切尔   李美华   译林出版社   2000-9   40.00元,玛格丽特·米切尔,飘 经典 外国文学 爱情 外国名著 小说 美国 名著
https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,地球往事三部曲 ,9.4,112178,地球往事三部曲,刘慈欣   重庆出版社   2012-1-1   168.00元,刘慈欣,刘慈欣 科幻 中国科幻 三体 科幻小说 硬科幻 经典 小说
https://book.douban.com/subject/1019568/,https://img2.doubanio.com/view/subject/s/public/s1076932.jpg,三国演义（全二册）, ,9.3,142729,是非成败转头空,[明] 罗贯中   人民文学出版社   1998-05   39.50元,罗贯中,三国演义 古典文学 古典名著 罗贯中 小说 历史 名著 四大名著
https://book.douban.com/subject/3259440/,https://img2.doubanio.com/view/subject/s/public/s4610502.jpg,白夜行,白夜行,9.1,478579,暗夜独行的残破灵魂，爱与恶本就难分难舍,[日] 东野圭吾   刘姿君   南海出版公司   2008-9   29.80元,东野圭吾,东野圭吾 東野圭吾 推理 悬疑 日本 推理小说 人性 日本文学
https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子,Le Petit Prince,9.0,660438,献给长成了大人的孩子们,[法] 圣埃克苏佩里   马振聘   人民文学出版社   2003-8   22.00元,圣埃克苏佩里,小王子 童话 经典 成长 圣埃克苏佩里 哲学 外国文学 法国
https://book.douban.com/subject/1040211/,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,福尔摩斯探案全集（上中下）, ,9.3,111376,名侦探的代名词,[英] 阿·柯南道尔   丁钟华 等   群众出版社   1981-8   53.00元 68.00元,阿·柯南道尔,福尔摩斯 推理 侦探 柯南道尔 侦探小说 经典 悬疑 小说
https://book.douban.com/subject/27614904/,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,房思琪的初恋乐园, ,9.2,276828,向死而生的文学绝唱,林奕含   北京联合出版公司   2018-2   45.00元,林奕含,女性 自我保护 林奕含 女性/性别 台湾文学 现代文学 小说 台湾
https://book.douban.com/subject/2035179/,https://img3.doubanio.com/view/subject/s/public/s2347590.jpg,动物农场,Animal Farm,9.3,121195,太阳底下并无新事,[英] 乔治·奥威尔   荣如德   上海译文出版社   2007-3   10.00元,乔治·奥威尔,乔治·奥威尔 政治寓言 反乌托邦 极权主义 小说 政治 外国文学 动物农场
https://book.douban.com/subject/1060068/,https://img3.doubanio.com/view/subject/s/public/s1066570.jpg,撒哈拉的故事, ,9.2,124732,游荡的自由灵魂,三毛   哈尔滨出版社   2003-8   15.80元,三毛,三毛 撒哈拉的故事 随笔 散文 游记 旅行 爱情 文学
https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,天龙八部, ,9.1,116755,有情皆孽，无人不冤,金庸   生活·读书·新知三联书店   1994-5   96.00元,金庸,金庸 武侠 武侠小说 天龙八部 经典 小说 中国文学 中国
https://book.douban.com/subject/1046209/,https://img2.doubanio.com/view/subject/s/public/s1034062.jpg,安徒生童话故事集, ,9.2,108113,为了争取未来的一代,（丹麦）安徒生   叶君健   人民文学出版社   1997-08   25.00元,安徒生,童话 安徒生 经典 儿童文学 外国文学 安徒生童话 安徒生童话故事集 名著
https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）, ,9.0,285548,中国当代城乡生活全景,路遥   人民文学出版社   2005-1   64.00元,路遥,平凡的世界 路遥 人生 中国文学 经典 小说 文学 成长
https://book.douban.com/subject/1008145/,https://img2.doubanio.com/view/subject/s/public/s1070222.jpg,围城, ,8.9,409701,幽默的语言和对生活深刻的观察,钱锺书   人民文学出版社   1991-2   19.00,钱锺书,钱钟书 围城 中国文学 经典 小说 婚姻 现代文学 文学
https://book.douban.com/subject/10594787/,https://img2.doubanio.com/view/subject/s/public/s11284102.jpg,霍乱时期的爱情,El amor en los tiempos del cólera,9.0,227983,义无反顾地直达爱情的核心,[哥伦比亚] 加西亚·马尔克斯   杨玲   南海出版公司   2012-9-1   39.50元,加西亚·马尔克斯,霍乱时期的爱情 爱情 加西亚-马尔克斯 加西亚·马尔克斯 拉美文学 小说 外国文学 文学
https://book.douban.com/subject/4908885/,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg,局外人,L'Etranger,9.0,178710,人生在世，永远也不该演戏作假,[法] 阿尔贝·加缪   柳鸣九   上海译文出版社   2010-8   22.00元,阿尔贝·加缪,加缪 存在主义 阿尔贝·加缪 局外人 小说 法国文学 哲学 法国
https://book.douban.com/subject/3674537/,https://img9.doubanio.com/view/subject/s/public/s3745215.jpg,明朝那些事儿（1-9）,,9.1,125409,不拘一格的历史书写,当年明月   中国海关出版社   2009-4   358.20元,当年明月,历史 明朝那些事儿 明朝 当年明月 中国历史 历史小说 中国文学 明史
https://book.douban.com/subject/1770782/,https://img3.doubanio.com/view/subject/s/public/s1727290.jpg,追风筝的人,The Kite Runner,8.9,717339,为你，千千万万遍,[美] 卡勒德·胡赛尼   李继宏   上海人民出版社   2006-5   29.00元,卡勒德·胡赛尼,追风筝的人 人性 救赎 阿富汗 成长 小说 外国文学 卡勒德·胡赛尼
